Rank,University,Total,Spring,Winter,CS:GO,Dota 2,FIFA,Hearthstone,League of Legends,Overwatch,Rainbow 6 (USL),Rocket League,Smash (Singles),Smash (Teams),Tekken (UFG),Pubg Mobile,Longitude,Latitude
55,Roehampton University,217,78,139.0,0,21,28,0,145,6,17,0,0,0,0,0,-0.244097819,51.4487292
56,University of Hull,206,81,125.0,55,106,0,0,0,9,0,28,2,0,6,0,-0.36880959999999996,53.769248
57,Oxford University,199,130,69.0,0,28,0,82,0,0,0,89,0,0,0,0,-1.251664602,51.7520849
58,FXU (Falmouth & Exeter Student's Union),197,68,129.0,86,0,0,5,25,22,31,0,16,0,12,0,-5.124864,50.170984999999995
59,Manchester Metropolitan University,188,88,100.0,24,11,0,0,0,64,75,0,0,0,0,14,-2.229793907,53.41188025
60,UCFB (University Campus of Football Business),185,21,164.0,0,0,166,0,4,0,0,15,0,0,0,0,-2.228908,53.78893000000001
61,Middlesex University,177,101,76.0,13,0,0,0,117,9,0,0,32,4,2,0,-0.22963220899999998,51.59029705
62,Glasgow Caledonian University,156,28,128.0,4,30,0,6,0,0,25,0,42,49,0,0,-4.250245389,55.86746635
63,University of Edinburgh,153,73,80.0,0,0,0,0,0,146,1,0,6,0,0,0,-3.188406361,55.944128299999996
64,University of Essex,152,25,127.0,54,48,0,0,0,0,1,49,0,0,0,0,0.9450540000000001,51.879069799999996
65,University of Sheffield,130,48,82.0,0,44,0,0,6,0,0,0,50,30,0,0,-1.4840466,53.3806743
66,Edge Hill University,129,88,41.0,87,0,0,0,11,9,22,0,0,0,0,0,-2.869272463,53.558315799999995
67,University of Plymouth,124,75,49.0,89,0,19,0,0,0,0,12,0,0,4,0,-4.139428,50.376118
68,University of Northampton,114,83,31.0,0,0,0,0,60,0,0,0,54,0,0,0,-0.8812682959999999,52.27403375
69,Edinburgh Napier University,96,50,46.0,0,0,0,0,0,0,0,0,96,0,0,0,-3.2862367999999993,55.9228999
70,University of Huddersfield,81,11,70.0,31,3,0,0,23,14,0,0,0,0,10,0,-1.7787240000000002,53.643714
71,University Of West London,67,67,,34,0,0,1,3,0,7,2,0,0,0,20,-0.302807537,51.5070185
72,University of Greenwich,61,30,31.0,61,0,0,0,0,0,0,0,0,0,0,0,-0.0066531,51.4825423
73,University Of Central Lancashire,59,59,,0,0,0,0,59,0,0,0,0,0,0,0,-2.7087492419999997,53.76340335
74,Wrexham Glyndwr University,58,37,21.0,0,0,0,0,0,0,0,0,58,0,0,0,-3.004820754,53.05373795
75,Queen Mary University of London,57,14,43.0,0,0,0,0,0,0,0,0,43,0,14,0,-0.039310347,51.52472720000001
76,London South Bank University,56,24,32.0,1,0,0,0,7,0,0,0,41,0,7,0,-0.10185926199999999,51.497788
77,Liverpool John Moores University,51,51,,0,0,0,0,0,0,0,51,0,0,0,0,-2.971356938,53.40275735
78,Aston University,45,34,11.0,0,0,0,0,45,0,0,0,0,0,0,0,-1.888499151,52.48620785
79,University of Gloucestershire,39,4,35.0,4,0,0,0,0,0,0,0,35,0,0,0,-2.223608,51.872907
80,Leeds College of Music,36,15,21.0,0,15,0,0,0,0,0,0,19,0,2,0,-1.532903175,53.79752125
81,York St John University,32,32,,0,0,0,0,0,32,0,0,0,0,0,0,-1.080687068,53.96530435
81,Liverpool Hope University,32,0,32.0,0,0,0,0,0,0,0,0,32,0,0,0,-2.968979154,53.412914799999996
83,University Of Chester,30,30,,0,0,0,0,0,0,30,0,0,0,0,0,-2.8911626749721564,53.1857524
84,University of Dundee,18,0,18.0,0,0,18,0,0,0,0,0,0,0,0,0,-2.982148314,56.45796755
85,Anglia Ruskin University,13,2,11.0,0,0,0,0,0,0,0,0,13,0,0,0,-0.251886469,52.56595385
86,Teesside University,10,0,10.0,0,0,0,0,1,0,0,9,0,0,0,0,-1.2350966190000001,54.5703695
87,Kingston University,8,8,,0,0,0,0,0,0,0,0,0,0,0,8,-0.3044737,51.4034848
88,Robert Gordon University,7,7,,0,0,0,0,0,0,0,7,0,0,0,0,-2.139700339,57.1186191
88,University of Stirling,7,7,,0,0,1,0,0,0,0,0,0,0,0,6,-3.9173938039999996,56.145115399999995
88,University of the Arts London,7,0,7.0,0,0,0,0,0,0,0,0,7,0,0,0,-0.116403265,51.517678499999995
91,University of Winchester,6,6,,0,0,0,0,0,0,0,0,6,0,0,0,-1.3329131220000001,51.06273795
92,University of Strathclyde,4,4,,0,0,0,0,0,0,0,0,0,0,0,4,-4.241956566,55.861881200000006
93,Southampton Solent University,3,0,3.0,0,0,0,0,0,0,3,0,0,0,0,0,-1.400167375,50.90827595
93,University of South Wales,3,0,3.0,0,0,0,0,0,0,0,0,3,0,0,0,-2.9906177000000005,51.5860883
95,University of Westminster,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,-0.143305168,51.51689870000001
96,Oxford Brookes University,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,-1.224420734,51.755194
97,Northampton College,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,-0.891177312,52.2406133
98,London School of Economics,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,-0.11658840300000001,51.51442905
